Date,Hour,load,zone
1/4/2017,0:00,2905,PACW
1/4/2017,0:00,10041,PGE
1/4/2017,0:00,3502,PSEI
1/4/2017,0:00,10184,SCE
1/4/2017,0:00,2015,SDGE
1/4/2017,0:00,67,VEA
1/4/2017,1:00,2654,AZPS
1/4/2017,1:00,21620,CA ISO
1/4/2017,1:00,3444,NEVP
1/4/2017,1:00,4815,PACE
1/4/2017,1:00,2873,PACW
1/4/2017,1:00,9833,PGE
1/4/2017,1:00,3451,PSEI
1/4/2017,1:00,9802,SCE
1/4/2017,1:00,1917,SDGE
1/4/2017,1:00,68,VEA
1/4/2017,2:00,2699,AZPS
1/4/2017,2:00,21084,CA ISO
1/4/2017,2:00,3406,NEVP
1/4/2017,2:00,4808,PACE
1/4/2017,2:00,2907,PACW
1/4/2017,2:00,9578,PGE
1/4/2017,2:00,3461,PSEI
1/4/2017,2:00,9567,SCE
1/4/2017,2:00,1870,SDGE
1/4/2017,2:00,69,VEA
1/4/2017,3:00,2815,AZPS
1/4/2017,3:00,20986,CA ISO
1/4/2017,3:00,3404,NEVP
1/4/2017,3:00,4862,PACE
