Date,load,zone
1/2/18 4:00,3134,PSEI
1/2/18 4:00,8655,SCE
1/2/18 4:00,1789,SDGE
1/2/18 4:00,73,VEA
1/2/18 5:00,3049,AZPS
1/2/18 5:00,20722,CA ISO
1/2/18 5:00,3515,NEVP
1/2/18 5:00,5377,PACE
1/2/18 5:00,2567,PACW
1/2/18 5:00,9431,PGE
1/2/18 5:00,2515,PGE-NEW
1/2/18 5:00,3462,PSEI
1/2/18 5:00,9288,SCE
1/2/18 5:00,1923,SDGE
1/2/18 5:00,80,VEA
1/2/18 6:00,3214,AZPS
1/2/18 6:00,22764,CA ISO
1/2/18 6:00,3709,NEVP
1/2/18 6:00,5741,PACE
1/2/18 6:00,2940,PACW
1/2/18 6:00,10395,PGE
1/2/18 6:00,2863,PGE-NEW
1/2/18 6:00,3863,PSEI
1/2/18 6:00,10152,SCE
1/2/18 6:00,2130,SDGE
1/2/18 6:00,87,VEA
1/2/18 7:00,3184,AZPS
1/2/18 7:00,24151,CA ISO
1/2/18 7:00,3772,NEVP
1/2/18 7:00,5828,PACE
1/2/18 7:00,3168,PACW
1/2/18 7:00,11266,PGE
1/2/18 7:00,3086,PGE-NEW
1/2/18 7:00,4132,PSEI
1/2/18 7:00,10602,SCE
1/2/18 7:00,2192,SDGE
1/2/18 7:00,91,VEA
1/2/18 8:00,3014,AZPS
1/2/18 8:00,24727,CA ISO
1/2/18 8:00,3807,NEVP
1/2/18 8:00,5746,PACE
1/2/18 8:00,3175,PACW
1/2/18 8:00,11573,PGE
1/2/18 8:00,3096,PGE-NEW
1/2/18 8:00,4152,PSEI
1/2/18 8:00,10870,SCE
1/2/18 8:00,2190,SDGE
1/2/18 8:00,94,VEA
1/2/18 9:00,2856,AZPS
1/2/18 9:00,24824,CA ISO
1/2/18 9:00,3827,NEVP
1/2/18 9:00,5688,PACE
1/2/18 9:00,3168,PACW
1/2/18 9:00,11649,PGE
1/2/18 9:00,3098,PGE-NEW
1/2/18 9:00,4100,PSEI
1/2/18 9:00,10951,SCE
1/2/18 9:00,2134,SDGE
1/2/18 9:00,90,VEA
1/2/18 10:00,2665,AZPS
1/2/18 10:00,24690,CA ISO
1/2/18 10:00,3818,NEVP
1/2/18 10:00,5621,PACE
1/2/18 10:00,3147,PACW
1/2/18 10:00,11586,PGE
