Category,v 2019  ,Plant ID,Plant Name,Unit,Status,Start Date,Retire Date,Prime mover ID,Prime Mover,Capacity,net MWh,Primary,Primary,Secondary,Secondary
,,,,,,,,,Description,,,Fuel Use MMBTU,Energy Source,Fuel Use MMBTU,Energy Source
S,2019,S0552,Antelope DSR 1 - Big Sky Solar 1,Unit 1,OP,12/20/2016,,PV,Photovoltaic,50,128072,0,SUN,0,N/A
S,2019,S0553,Antelope DSR 2 - Big Sky Solar 2,Unit 1,OP,12/20/2016,,PV,Photovoltaic,5,11142,0,SUN,0,N/A
S,2019,S0663,Antelope Expansion 2,Unit 1,OP,12/24/2018,,PV,Photovoltaic,105,232421,0,SUN,0,N/A
S,2019,S0645,Antelope Valley Lancaster Solar 1 (Avenue F),Unit 1,OP,8/25/2017,,PV,Photovoltaic,4.34,8002.02,0,SUN,0,N/A
S,2019,S0241,Antelope Valley Solar Ranch 1,1,OP,4/1/2013,,PV,Photovoltaic,250,575841,0,SUN,0,UNK
S,2019,S0422,AP North Lake Solar,Unit 1,OP,7/1/2015,,PV,Photovoltaic,20,42588.2,0,SUN,0,UNK
S,2019,S9075,Applied Materials Inc.,1,OP,1/1/2012,,PV,Photovoltaic,1,1622,0,SUN,0,N/A
C,2019,C0017,Argus Cogen Plant,TG #5,OP,12/1/1947,,ST,Steam Turbine,7.5,1899.08,54877.1,NG,196086,BIT
C,2019,C0017,Argus Cogen Plant,TG #8,OP,5/1/1978,,ST,Steam Turbine,27.5,124365,6037410,BIT,216504,NG
C,2019,C0017,Argus Cogen Plant,TG #9,OP,5/1/1978,,ST,Steam Turbine,27.5,123542,5994000,BIT,225533,NG
S,2019,S0325,Arkansas Solar Facility,SGAK,OP,11/26/2014,,PV,Photovoltaic,50,131569,0,SUN,0,UNK
S,2019,S0292,Arlington Valley Solar Energy II,5912038,OP,11/5/2013,,PV,Photovoltaic,129,348390,0,SUN,0,UNK
S,2019,S0616,Aspiration Solar,Unit 1,OP,9/13/2017,,PV,Photovoltaic,9,19658,0,SUN,0,N/A
S,2019,S9073,AT&T San Ramon (PV)/AT&T Services Inc,1,OP,1/1/2012,,PV,Photovoltaic,1,1622,0,SUN,0,N/A
S,2019,S9142,AT&T Services Inc.,1,OP,1/1/2012,,PV,Photovoltaic,2.1,3446,0,SUN,0,N/A
S,2019,S9025,AT&T Services Inc.,1,OP,1/1/2012,,PV,Photovoltaic,1,1622,0,SUN,0,N/A
S,2019,S0620,ATT (DirecTV Broadcast),908628-CA,OP,3/4/2015,,PV,Photovoltaic,1.02,1398,0,SUN,0,N/A
S,2019,S0323,Atwell Island PV Solar Generating Facility,Unit 1,OP,3/1/2013,,PV,Photovoltaic,20,37593.1,0,SUN,0,UNK
S,2019,S0336,Atwell Island West LLC CED,1,OP,6/25/2015,,PV,Photovoltaic,20,53239,0,SUN,0,UNK
S,2019,S0460,Augustine Energy PV,Unit 1,OP,1/1/2016,,PV,Photovoltaic,3,5256,0,SUN,0,N/A
S,2019,S0126,Avenal Park Solar,1,OP,8/5/2011,,PV,Photovoltaic,6,10501,0,SUN,0,UNK
S,2019,S9213,Ayden Power LLC,Unit 1,OP,12/31/2014,,PV,Photovoltaic,1.5,2628,0,SUN,0,N/A
H,2019,H0014,Azusa,1,MR,2/1/1949,,HY,Hydraulic Turbine (conventional),3,0.01,0,WAT,0,UNK
G,2019,G9100,B Braun Medical Inc,2,OP,12/1/1995,,GT,Combustion (gas) Turbine,3.3,18229,291004,NG,0,UNK
G,2019,G9100,B Braun Medical Inc,Unit 1,OP,1/1/1995,,GT,Combustion (gas) Turbine,2.8,14111,227551,NG,0,UNK
G,2019,G0040,Badger Creek Cogen,LM5000,OP,4/19/1991,,GT,Combustion (gas) Turbine,47,14125,135029,NG,0,UNK
H,2019,H0547,Baker Station Hydro,Unit 1,OP,12/10/1987,,HY,Hydraulic Turbine (conventional),1.5,949.56,0,WAT,0,N/A
S,2019,S0642,Bakersfield Industrial 1,Unit 1,OP,12/27/2017,,PV,Photovoltaic,1,2134.31,0,SUN,0,N/A
S,2019,S0643,Bakersfield Solar 1,Unit 1,OP,12/26/2017,,PV,Photovoltaic,5.3,9624.73,0,SUN,0,N/A
H,2019,H0019,Balch #1,Unit 587,OP,2/20/1927,,HY,Hydraulic Turbine (conventional),34,162881,0,WAT,0,UNK
H,2019,H0020,Balch #2,Unit 588,OP,11/26/1958,,HY,Hydraulic Turbine (conventional),54,302811,0,WAT,0,UNK
H,2019,H0020,Balch #2,Unit 589,OP,11/26/1958,,HY,Hydraulic Turbine (conventional),54,278238,0,WAT,0,UNK
G,2019,G9111,Barre Peaker,1,OP,8/1/2007,,GT,Combustion (gas) Turbine,49,18885,195482,NG,0,UNK
S,2019,S0662,BART Lafayette,Unit 1,OP,9/12/2018,,PV,Photovoltaic,1.01,1133,0,SUN,0,N/A
